Company Name,Website,Address,latitude,longitude,Description,vertical ,Employee Count,Stage,Date Added
InnFocus Inc,http://innfocusinc.com,12415 SW 136th Ave #3  Miami  FL 33186,25.65129,-80.415978,InnFocus is an ophthalmology company with extensive biomaterials experience  which develops and provides next-generation products for glaucoma surgery.,Biotechnology,16,C,2013-11-05
Open English,http://openenglish.com,2901 Florida Ave #840  Miami  FL 33133,25.72941,-80.2429445,Open English is a leading Education Technology company focused on English language learning for the Latin American & U.S. Hispanic markets.,Education,898,Late,2013-04-04
Shooger,http://shooger.com,3211 Ponce De Leon Blvd #101  Coral Gables  FL 33134,25.7488508,-80.2672069,Shooger is a mobile marketing platform that enables merchants to connect with smartphone-savvy consumers.,e-commerce,32,A,2013-04-04
Tissuetech,http://biotissue.com,7000 SW 97th Ave #211  Miami  FL 33173,25.7512329,-80.4114491,TissueTech  Inc.  the parent company of both Amniox Medical  Inc. and BioTissue  Inc.  is a leader in regenerative amniotic tissue-based products for use in the ophthalmology  optometry  musculoskeletal and wound care markets. The Company’s first product  AmnioGraft®  is the only tissue graft designated by the FDA as homologous for promoting ophthalmic wound healing while suppressing scarring and inflammation.,biotechnology,43,B,2013-07-16
AerSale Holdings,http://aersale.com,121 Alhambra Plaza # 1700  Coral Gables  FL 33134,25.7526597,-80.2594869,AerSale Holdings provides aftermarket aircraft  engines and component parts to airlines  leasing companies and OEM/MRO service providers.,hardware,193,Late,2013-04-04
Brickell Biotech,http://brickellbio.com,2600 SW 3rd Ave #950  Miami  FL 33129,25.7553885,-80.2111108,Brickell Biotech is focused on the acquisition  development  and commercialization of drug therapies for the treatment of skin diseases.,biotechnology,8,C,2013-04-04
Net Element International,http://netelement.com,"1450 S Miami Ave  Miami  FL 33130
",25.759416,-80.196332,Net Element is a technology-driven group specializing in mobile payments and value-added transactional services.,e-commerce,52,Exited (ipo),2013-04-04
EarlyShares,http://earlyshares.com,1200 Brickell Ave #510  Miami  FL 33131,25.7621082,-80.1944985,Information and Technology Services Team,Real-estate,finance,Pre Series A,4/4/13
Farelogix,http://farelogix.com,760 NW 107th Ave # 300  Miami  FL 33172,25.7759915,-80.3733426,Farelogix provides distribution technology and services for the airline and travel industries.,,104,C,2013-04-04
ACM Capital Partners,http://acmcapitalpartners.com,200 Biscayne Blvd  Miami  FL 33131,25.7766887,-80.1910373,Offers financial advisory services specializing in refinancing and restructuring debt to maximize a company's value during a period of transition such as bankruptcy  turnaround or receivership.,e-commerce,14,Unknown,2013-08-24
